school_name,link,address,category,rating,last_report_date,urn
St Paul's Whitechapel Church of England Primary School,/provider/21/100959,"Wellclose Square, Stepney, London, E1 8HY",Primary,Outstanding,06 June 2013,100959
Soho Parish CofE Primary School,/provider/21/101131,"23 Great Windmill Street, London, W1D 7LF",Primary,Good,28 June 2024,101131
All Souls CofE Primary School,/provider/21/101121,"Foley Street, London, W1W 7JJ",Primary,Good,07 November 2019,101121
St Mary and St Pancras Church of England Primary School,/provider/21/100043,"81 Werrington Street, London, NW1 1QP",Primary,Good,09 May 2019,100043
St Joseph's Catholic Primary School,/provider/21/149346,"George Row, Bermondsey, London, SE16 4UP",Primary,,07 December 2022,149346
Archbishop Sumner Church of England Primary School,/provider/21/100609,"Reedworth Street, Lambeth, Kennington, London, SE11 4PH",Primary,Outstanding,13 January 2015,100609
Boutcher Church of England Primary School,/provider/21/100822,"93 Grange Road, Bermondsey, London, SE1 3BW",Primary,Outstanding,29 September 2022,100822
St James' Church of England Primary School,/provider/21/100829,"Old Jamaica Road, Bermondsey, London, SE16 4SU",Primary,Good,04 March 2019,100829
English Martyrs' Roman Catholic Primary School,/provider/21/100824,"Flint Street, London, SE17 1RB",Primary,Good,14 May 2020,100824
"St Matthew's School, Westminster",/provider/21/101138,"18 Old Pye Street, Westminster, London, SW1P 2DG",Primary,Good,27 September 2023,101138
St. Paul's With St. Michael's CofE Primary School,/provider/21/100269,"57a Brougham Rd, Hackney, E8 4PB",Primary,Outstanding,10 May 2023,100269
St Mary and St Michael Primary School,/provider/21/131936,"Sutton Street, Stepney, London, E1 0BD",Primary,Good,03 July 2023,131936
St Peter's London Docks CofE Primary School,/provider/21/100960,"Garnet Street, ., London, E1W 3QT",Primary,Outstanding,07 May 2019,100960
St Mary Magdalene Academy,/provider/28/134314,"Liverpool Road, Islington, London, N7 8PG",Other schools,Outstanding,19 September 2023,134314
St John's Church of England Primary School,/provider/21/100953,"Peel Grove, Bethnal Green, London, E2 9LR",Primary,Good,18 January 2022,100953
Holy Trinity Church of England Primary School,/provider/21/100263,"Beechwood Road, London, E8 3DY",Primary,Good,24 June 2020,100263
Christ Church School,/provider/21/100029,"Redhill Street, Camden, London, NW1 4BD",Primary,Good,24 May 2022,100029
Our Lady Roman Catholic Primary School,/provider/21/100048,"Pratt Street, Camden, London, NW1 0DP",Primary,Outstanding,16 June 2023,100048
St Paul's Church of England Primary School,/provider/21/146669,"Penrose Street, Walworth, London, SE17 3DT",Primary,Good,26 September 2023,146669
Burdett-Coutts and Townshend Foundation CofE Primary School,/provider/21/101122,"Rochester Street, London, SW1P 2QQ",Primary,Good,22 May 2024,101122
St Peter's Church of England Primary School,/provider/21/100839,"Liverpool Grove, Walworth, London, SE17 2HH",Primary,Good,25 May 2023,100839
St Jude and St Paul's CofE Primary School,/provider/21/100442,"10 Kingsbury Road, Islington, London, N1 4AZ",Primary,Good,10 June 2024,100442
St Elizabeth Catholic Primary School,/provider/21/133288,"Bonner Road, Bethnal Green, London, E2 9JY",Primary,Good,06 May 2022,133288
St George's Hanover Square CofE Primary School,/provider/21/101130,"South Street, London, W1K 2XH",Primary,Good,22 January 2024,101130
Sacred Heart Catholic Primary School,/provider/21/100437,"68 Georges Road, Holloway, London, N7 8JN",Primary,Good,09 December 2022,100437
St Vincent's Catholic Primary School,/provider/21/101143,"St Vincent Street, London, W1U 4DF",Primary,Outstanding,05 February 2024,101143
St Vincent De Paul Catholic Primary School,/provider/21/101144,"Morpeth Terrace, London, SW1P 1EP",Primary,Good,15 January 2020,101144
St Anne's Catholic Primary School,/provider/21/100629,"6 Durham Street, London, SE11 5JA",Primary,Requires Improvement,04 September 2023,100629
St Mark's Church of England Primary School,/provider/21/100619,"Harleyford Road, Kennington, London, SE11 5SL",Primary,Good,15 October 2019,100619
St Matthias Church of England Primary School,/provider/21/100267,"Wordsworth Road, London, N16 8DD",Primary,Good,31 July 2023,100267
St Joan of Arc RC Primary School,/provider/21/100449,"Northolme Road, Highbury Park, London, N5 2UX",Primary,Good,06 March 2024,100449
St Peter's Eaton Square CofE Primary School,/provider/21/101140,"Lower Belgrave Street, London, SW1W 0NL",Primary,Requires Improvement,25 January 2023,101140
St Mary's Bryanston Square CofE School,/provider/21/101136,"Enford Street, London, W1H 1DL",Primary,Good,03 July 2023,101136
"Holy Trinity and Saint Silas CofE Primary School, NW1",/provider/21/100033,"Hartland Road, London, NW1 8DE",Primary,Good,29 November 2021,100033
Hampden Gurney CofE Primary School,/provider/21/101123,"13 Nutford Place, London, W1H 5HA",Primary,Good,06 July 2023,101123
Kentish Town Church of England Primary School,/provider/21/100034,"Islip Street, London, NW5 2TU",Primary,Outstanding,16 January 2018,100034
St Barnabas' CofE Primary School,/provider/21/101126,"St Barnabas Street, Pimlico, London, SW1W 8PF",Primary,Good,03 May 2023,101126
St Gabriel's CofE Primary School,/provider/21/101129,"Churchill Gardens Road, London, SW1V 3AG",Primary,Good,21 December 2023,101129
Holy Trinity CofE Primary School,/provider/21/100490,"Sedding Street, Sloane Square, London, SW1X 9DE",Primary,Good,16 June 2023,100490
St Joseph's Catholic Primary School,/provider/21/148438,"Cadogan Street, London, SW3 2QT",Primary,Outstanding,13 June 2024,148438
St Stephen's Church of England Primary School,/provider/21/100621,"Dorset Road, London, SW8 1EJ",Primary,Good,11 June 2019,100621
Christ Church Bentinck CofE Primary School,/provider/21/101147,"Cosway Street, Marylebone, London, NW1 5NS",Primary,Outstanding,28 June 2024,101147
St Edward's Catholic Primary School,/provider/21/101128,"Lisson Grove, London, NW1 6LH",Primary,Good,27 April 2023,101128
St George's CofE Primary School,/provider/21/101044,"Corunna Road, Battersea, London, SW8 4JS",Primary,Good,02 July 2024,101044
Oratory Roman Catholic Primary School,/provider/21/100491,"Bury Walk, Cale Street, Chelsea, London, SW3 6QH",Primary,Outstanding,12 October 2023,100491
Christ Church CofE Primary School,/provider/21/100489,"1 Robinson Street, London, SW3 4AA",Primary,Outstanding,03 July 2013,100489
St John the Divine Church of England Primary School,/provider/21/100614,"Warham Street, Camberwell New Road, London, SE5 0SX",Primary,Good,19 January 2024,100614
St James & St John Church of England Primary School,/provider/21/101132,"4 Craven Terrace, London, W2 3QD",Primary,Good,27 January 2022,101132
St Joseph's Catholic Infants School,/provider/21/100854,"Pitman Street, Camberwell, London, SE5 0TS",Primary,Good,31 January 2024,100854
St Joseph's Catholic Junior School,/provider/21/100853,"Pitman Street, Camberwell, London, SE5 0TS",Primary,Good,29 September 2022,100853
St Mary's RC Voluntary Aided Primary School,/provider/21/101048,"7 St Josephs Street, London, SW8 4EN",Primary,Good,14 July 2023,101048
Christ Church Primary SW9,/provider/21/100610,"Cancell Road, North Brixton, London, SW9 6HN",Primary,Good,02 July 2019,100610
Our Lady of Victories RC Primary School,/provider/21/100504,"Clareville Street, Kensington and Chelsea, Our Lady of Victories Primary School, London, SW7 5AQ",Primary,Good,01 February 2024,100504
St Patrick's Catholic Primary School,/provider/21/100045,"Holmes Road, London, NW5 3AH",Primary,Good,18 December 2019,100045
St John's Highbury Vale CofE Primary School,/provider/21/100440,"Conewood Street, London, N5 1DL",Primary,Good,10 November 2023,100440
St John of Jerusalem Church of England Primary School,/provider/21/100270,"Kingshold Road, London, E9 7JF",Primary,Good,27 January 2023,100270
The Olive School Hackney,/provider/21/139814,"32 St Johns Church Road, Hackney, London, E9 6EJ",Primary,Outstanding,10 June 2015,139814
St John and St James CofE Primary School,/provider/21/132137,"Isabella Road, Hackney, London, E9 6DX",Primary,Outstanding,13 June 2024,132137
Peter Hills with St Mary's and St Paul's CofE Primary School,/provider/21/100837,"2 Beatson Walk, Rotherhithe, London, SE16 5ED",Primary,Good,08 November 2022,100837
Stepney Greencoat Church of England Primary School,/provider/21/100946,"Norbiton Road, Limehouse, London, E14 7TF",Primary,Good,27 April 2023,100946
St Paul with St Luke CofE Primary School,/provider/21/100958,"Leopold Street, Bow, London, E3 4LA",Primary,Good,20 December 2019,100958
St. Dominic's Catholic Primary School,/provider/21/133669,"Ballance Road, London, E9 5SR",Primary,Good,19 May 2023,133669
St Joseph's Catholic Primary School,/provider/21/100833,"Gomm Road, Lower Road, Rotherhithe, London, SE16 2TY",Primary,Outstanding,10 May 2024,100833
St John's Roman Catholic Primary School,/provider/21/100841,"St Elmo's Road, London, SE16 6SD",Primary,Good,02 December 2019,100841
St Francis RC Primary School,/provider/21/100826,"Friary Road, Peckham, London, SE15 1RQ",Primary,Good,27 July 2023,100826
St George's Church of England Primary School,/provider/21/100827,"Coleman Road, Camberwell, London, SE5 7TF",Primary,Good,29 September 2023,100827
St James the Great Roman Catholic Primary School,/provider/21/100825,"Peckham Road, St James the Great Catholic Pr, London, SE15 5LP",Primary,Good,29 November 2022,100825
Our Lady and St Joseph Catholic Primary School,/provider/21/139423,"Wades Place, Poplar, London, E14 0DE",Primary,Good,22 November 2022,139423
St Paul's Church of England Primary School,/provider/21/100046,"Elsworthy Road, Primrose Hill, London, NW3 3DS",Primary,Good,14 December 2021,100046
St Joseph's RC Primary School,/provider/21/149488,"Lanark Road, Maida Vale, London, W9 1DF",Primary,Outstanding,15 May 2024,149488
Rosary Catholic Primary School,/provider/21/100035,"238 Haverstock Hill, Hampstead, London, NW3 2AE",Primary,Good,16 November 2022,100035
St Francis' Catholic Primary School,/provider/21/147336,"Maryland Park, Stratford, Main Entrance in Bow Street, London, E15 1HD",Primary,,05 July 2024,147336
West Ham Church Primary School,/provider/21/102765,"Portway, Stratford, London, E15 3QG",Primary,Good,29 June 2021,102765
St James' CofE Junior School,/provider/21/102764,"Tower Hamlets Road, Forest Gate, London, E7 9DA",Primary,Good,10 May 2023,102764
St Agnes RC Primary School,/provider/21/100949,"Rainhill Way, Bow, London, E3 3ER",Primary,Outstanding,25 April 2024,100949
Lantern of Knowledge Secondary School,/provider/27/132848,"30-36 Lindley Road, Leyton, London, E10 6QT",Independent School,Good,10 November 2023,132848
St Antony's Catholic Primary School,/provider/21/148025,"Upton Avenue, Forest Gate, London, E7 9PN",Primary,,26 September 2023,148025
St Joseph's Catholic Infant School,/provider/21/103090,"Marsh Lane, London, E10 7BL",Primary,Good,04 March 2022,103090
St Joseph's Catholic Junior School,/provider/21/103086,"150 Vicarage Road, Leyton, London, E10 5DX",Primary,Good,04 July 2023,103086
Zakariya Primary School,/provider/27/134577,"447-451 Romford Road, Forest Gate, London, E7 8AB",Independent School,Inadequate,28 November 2023,134577
St Helen's Catholic Primary School,/provider/21/141925,"Chargeable Lane, London, E13 8DW",Primary,Outstanding,30 January 2023,141925
St Saviour's Church of England Primary School,/provider/21/100961,"Chrisp Street, Poplar, London, E14 6BB",Primary,Outstanding,10 June 2019,100961
St Edward's Catholic Primary School,/provider/21/147335,"Green Street, Upton Park, London, E13 9AX",Primary,Good,07 March 2023,147335
St Saviour's Church of England Primary School,/provider/21/144239,"Verulam Avenue, 33, London, E17 8ER",Primary,Outstanding,06 November 2019,144239
St Luke's Primary School,/provider/21/102766,"Ruscoe Road, West Ham, London, E16 1JB",Primary,Good,09 December 2019,102766
St Scholastica's Catholic Primary School,/provider/21/100274,"KENNINGHALL ROAD, CLAPTON, LONDON, E5 8BS",Primary,Good,19 November 2019,100274
Our Lady of Lourdes RC Primary School,/provider/21/147337,"Chestnut Drive, Wanstead, London, E11 2TA",Primary,,19 January 2024,147337
St Edmund's Catholic School,/provider/21/100951,"299 Westferry Road, Millwall, London, E14 3RS",Primary,Good,20 March 2023,100951
St Joachim's Catholic  Primary School,/provider/21/141927,"Shipman Road, Custom House, London, E16 3DT",Primary,Good,17 November 2021,141927
Chingford CofE Primary School,/provider/21/103084,"King's Road, London, E4 7EY",Primary,Good,15 March 2019,103084
St Mary's Catholic Primary School,/provider/21/103085,"Station Road, Chingford, London, E4 7BJ",Primary,Good,06 March 2024,103085
St Matthew's CofE Primary School,/provider/21/102054,"St Matthew's C of E Primary School, South Street, Enfield, EN3 4LA",Primary,Good,26 September 2023,102054
St Mary's Catholic Primary School,/provider/21/102036,"Durants Road, Ponders End, Enfield, EN3 7DE",Primary,Good,20 December 2023,102036
St Antony's Catholic Primary School,/provider/21/102844,"Mornington Road, Woodford Green, Essex, IG8 0TX",Primary,Good,27 September 2023,102844
St Edmund's Catholic Primary School,/provider/21/102037,"Hertford Road, Edmonton, N9 7HJ",Primary,Good,15 May 2023,102037
"St John's Church of England Voluntary Controlled Primary School, Buckhurst Hill",/provider/21/145599,"High Road, Buckhurst Hill, Essex, IG9 5RX",Primary,,21 September 2022,145599
Meridian Angel Primary School,/provider/21/141017,"Albany Road, London, Edmonton, N18 2DX",Primary,Good,14 July 2023,141017
St James CofE Primary School,/provider/21/102033,"Frederick Crescent, Enfield, EN3 7HH",Primary,Requires Improvement,16 January 2023,102033
Simon Marks Jewish Primary School,/provider/21/100275,"75 Cazenove Road, Stoke Newington, Hackney, London, N16 6PD",Primary,Good,24 June 2024,100275
Lubavitch Girls Primary School,/provider/21/145610,"107-115 Stamford Hill, London, N16 5RP",Primary,Good,13 February 2024,145610
"St Mary's Church of England Primary School, Stoke Newington",/provider/21/100271,"Barn Street, Stoke Newington, London, N16 0JT",Primary,Good,16 June 2023,100271
St Ignatius RC Primary School,/provider/21/102144,"St Ann's Road, Tottenham, London, N15 6ND",Primary,Good,13 June 2019,102144
Beis Rochel d'Satmar Girls' School,/provider/27/100293,"51-57 Amhurst Park, London, N16 5DL",Independent School,Requires Improvement,15 February 2023,100293
St Patrick's Catholic Primary School,/provider/21/103088,"Longfield Avenue, London, E17 7DP",Primary,Good,28 July 2023,103088
St Mary's Priory RC Infant School,/provider/21/102147,"Hermitage Road, Tottenham, London, N15 5RE",Primary,Good,27 November 2018,102147
St Mary's Priory RC Junior School,/provider/21/102145,"Hermitage Road, London, N15 5RE",Primary,Good,25 March 2024,102145
St Ann's CE Primary School,/provider/21/139169,"Avenue Road, London, N15 5JG",Primary,Good,14 December 2023,139169
Holy Trinity CofE Primary School,/provider/21/139240,"Somerset Road, Tottenham, London, N17 9EJ",Primary,Outstanding,25 November 2022,139240
Emmanuel Community School,/provider/21/138258,"The Drive, Walthamstow, London, E17 3BN",Primary,Requires Improvement,10 June 2024,138258
St Michael's Catholic Primary School,/provider/21/150664,"Howard Road, East Ham, London, E6 6EE",Primary,,05 June 2024,150664
St Joseph's Catholic Primary School,/provider/21/147328,"The Broadway, Barking, Essex, IG11 7AR",Primary,,14 May 2024,147328
St Margarets CofE Primary School,/provider/21/144035,"15-19 North Street, Barking, Essex, IG11 8AS",Primary,,15 November 2019,144035
St Winefride's RC Primary School,/provider/21/148972,"Church Road, Manor Park, London, E12 6HB",Primary,Good,17 October 2023,148972
George Carey Church of England Primary School,/provider/21/136431,"The Rivergate Centre, Minter Road, Barking, IG11 0FJ",Primary,Good,27 April 2023,136431
Saint Mary Magdalene Church of England All Through School,/provider/28/100171,"Kingsman Street, London, SE18 5PW",Other schools,Good,13 December 2023,100171
Apex Primary School,/provider/27/126620,"60-62 Argyle Road, Ilford, Essex, IG1 3BG",Independent School,Requires Improvement,06 January 2017,126620
Wanstead Church School,/provider/21/102841,"Church Path, Wanstead, London, E11 2SS",Primary,Good,27 June 2024,102841
St Mary's CofE Primary School,/provider/21/144238,"Brooke Road, Walthamstow, London, E17 9HJ",Primary,,29 April 2022,144238
Our Lady and St George's Catholic Primary School,/provider/21/135193,"Shernhall Street, Walthamstow, London, E17 3EA",Primary,Good,04 March 2020,135193
SS Peter and Paul's Catholic Primary School,/provider/21/147340,"Gordon Road, Ilford, Essex, IG1 1SA",Primary,,07 September 2019,147340
St Aidan's Catholic Primary Academy,/provider/21/140295,"Benton Road, Ilford, Essex, IG1 4AS",Primary,Good,11 November 2022,140295
St Augustine's Catholic Primary School,/provider/21/102842,"Cranbrook Road, Gants Hill, Ilford, Essex, IG2 6RG",Primary,Good,25 November 2019,102842
"Canary Wharf College, East Ferry",/provider/21/137016,"197 East Ferry Road, Isle of Dogs, London, E14 3BA",Primary,Good,11 November 2022,137016
St Luke's Church of England Primary School,/provider/21/100954,"Saunders Ness Road, Isle of Dogs, London, E14 3EB",Primary,Good,12 December 2023,100954
"Canary Wharf College, Glenworth",/provider/21/141039,"93 Saunders Ness Road, Isle of Dogs, London, E14 3EB",Primary,Outstanding,10 January 2024,141039
Christ Church Church of England Primary School,/provider/21/100165,"45 Commerell Street, Greenwich, London, SE10 0DZ",Primary,Good,14 January 2022,100165
St Joseph's Catholic Primary School,/provider/21/100169,"Commerell Street, Greenwich, London, SE10 9AN",Primary,Good,15 June 2023,100169
St Alfege with St Peter's Church of England Primary School,/provider/21/100174,"Creek Road, Greenwich, London, SE10 9RB",Primary,Good,01 February 2022,100174
St Joseph's Catholic Primary School,/provider/21/100729,"Crossfield Street, Deptford, London, SE8 3PH",Primary,Good,28 July 2023,100729
Our Lady of Grace Catholic Primary School,/provider/21/100168,"16 Highcombe, Charlton, London, SE7 7HR",Primary,Outstanding,16 May 2023,100168
St Peter's Catholic Primary School,/provider/21/100175,"Crescent Road, London, SE18 7BN",Primary,Outstanding,19 May 2023,100175
St Paul's and All Hallows CofE Infant School,/provider/21/139176,"Park Lane, London, N17 0HH",Primary,Good,08 December 2021,139176
Clore Tikva School,/provider/21/131682,"115 Fullwell Avenue, Barkingside, Clore Tikva School, Ilford, Essex, IG6 2JN",Primary,Good,12 May 2020,131682
Christ The King Catholic Primary School,/provider/21/100450,"55 Tollington Park, London, N4 3QW",Primary,Good,15 March 2019,100450
St Mark's CofE Primary School,/provider/21/100444,"Sussex Way, Islington, London, N19 4JF",Primary,Good,17 July 2019,100444
St John's Upper Holloway CofE Primary School,/provider/21/100439,"Pemberton Gardens, Upper Holloway, London, N19 5RR",Primary,Good,01 August 2022,100439
Holy Trinity CofE Primary School,/provider/21/101317,"Eagans Close, East Finchley, London, N2 8GA",Primary,Outstanding,08 May 2015,101317.0
Eden Primary,/provider/21/136808,"79 Creighton Avenue, Muswell Hill, London, N10 1NR",Primary,Good,09 May 2024,136808.0
Our Lady of Muswell Catholic Primary School,/provider/21/102142,"Pages Lane, Muswell Hill, London, N10 1PS",Primary,Outstanding,15 July 2024,102142.0
St Theresa's Catholic Primary School,/provider/21/101335,"East End Road, Finchley, London, N3 2TD",Primary,Good,03 April 2019,101335.0
St James Church of England Primary School,/provider/21/102136,"Woodside Avenue, Muswell Hill, London, N10 3JA",Primary,Good,18 May 2022,102136.0
Akiva School,/provider/21/135086,"80 East End Road, London, N3 2SY",Primary,Good,02 October 2023,135086.0
Our Lady of Lourdes RC School,/provider/21/101331,"Bow Lane, Finchley, London, N12 0JP",Primary,Good,22 June 2023,101331.0
Pardes House Primary School,/provider/21/133364,"Hendon Lane, Pardes House Primary School, London, Middlesex, N3 1SA",Primary,Good,25 June 2021,133364.0
St Michael's CofE Voluntary Aided Primary School,/provider/21/102135,"North Road, Highgate, London, N6 4BG",Primary,Outstanding,27 September 2023,102135.0
Wren Academy Finchley,/provider/28/135507,"Hilton Avenue, North Finchley, London, N12 9HB",Other schools,Outstanding,05 November 2018,135507.0
St Mary's CofE Primary School,/provider/21/101323,"Dollis Park, Finchley, London, N3 1BT",Primary,Good,02 March 2022,101323.0
Sacks Morasha Jewish Primary School,/provider/21/146662,"31 Stanhope Road, Barnet, London, N12 9DX",Primary,Good,25 September 2023,146662.0
St John's CofE Junior Mixed and Infant School,/provider/21/101319,"Crescent Road, Friern Barnet, London, N11 3LB",Primary,Good,09 November 2023,101319.0
St Martin of Porres Catholic Primary School,/provider/21/102150,"Blake Road, New Southgate, London, N11 2AF",Primary,Good,27 April 2023,102150.0
St Paul's CofE Primary School N11,/provider/21/101325,"The Avenue, Friern Barnet, London, N11 1NQ",Primary,Good,18 January 2021,101325.0
Menorah Primary School for Boys,/provider/21/150274,"The Wohl Campus, 1 - 3 the Drive, Golders Green, London, NW11 9SP",Primary,,,
Menorah Primary School for Girls,/provider/21/101341,"The Wohl Campus, 1-3 the Drive, Golders Green, London, NW11 9SP",Primary,Outstanding,24 June 2024,101341.0
Independent Jewish Day School,/provider/21/137303,"46 Green Lane, Hendon, London, NW4 2AH",Primary,Requires Improvement,03 February 2023,137303.0
St Joseph's Catholic Primary School,/provider/21/100441,"Highgate Hill, Highgate, London, N19 5NE",Primary,Outstanding,19 January 2024,100441.0
Our Lady of Lourdes Catholic Primary School,/provider/21/102040,"The Limes Avenue, London, N11 1RD",Primary,Good,29 November 2021,102040.0
Millbrook Park Primary School,/provider/21/140601,"School House Lane, London, NW7 1JF",Primary,Good,16 January 2023,140601.0
Rimon Jewish Primary School,/provider/21/138272,"41a Dunstan Road, Golders Green, London, NW11 8AE",Primary,Good,05 July 2024,138272.0
Hasmonean Primary School,/provider/21/130998,"8-10 Shirehall Lane, Hendon, London, NW4 2PD",Primary,Good,20 February 2019,130998.0
"Christ Church Primary School, Hampstead",/provider/21/100028,"Christ Church Hill, London, NW3 1JH",Primary,Outstanding,07 December 2023,100028.0
St Gildas' Catholic Junior School,/provider/21/102151,"Oakington Way, London, N8 9EP",Primary,Good,10 June 2024,102151.0
St Mary's CofE Primary School,/provider/21/102139,"Church Lane, Hornsey, London, N8 7BU",Primary,Good,22 December 2022,102139.0
St Paul's Catholic Primary School,/provider/21/102146,"Bradley Road, Wood Green, London, N22 7SZ",Primary,Good,26 November 2019,102146.0
St Peter-in-Chains RC Infant School,/provider/21/102148,"Elm Grove, 3 Elm Grove, London, N8 9AJ",Primary,Good,10 July 2024,102148.0
St Michael's CofE Primary School,/provider/21/139175,"Bounds Green Road, Wood Green, London, N22 8HE",Primary,,25 February 2020,139175.0
All Saints' CofE Primary School NW2,/provider/21/101315,"Cricklewood Lane, Childs Hill, London, NW2 2TH",Primary,Good,02 July 2019,101315.0
Hampstead Parochial Church of England Primary School,/provider/21/100031,"Hampstead Parochial School , Holly Bush Vale, Hampstead, London, NW3 6TX",Primary,Good,19 July 2023,100031.0
Alma Primary,/provider/21/139562,"Friern Barnet Lane, Whetstone, London, N20 0LP",Primary,Good,06 October 2023,139562.0
St Mary's and St John's CofE School,/provider/28/103119,"Bennett House, Sunningfields Road, Hendon, London, NW4 4QR",Other schools,Good,10 May 2024,103119.0
St Vincent's Catholic Primary School,/provider/21/101334,"The Ridgeway, Mill Hill, London, NW7 1EJ",Primary,Good,14 May 2019,101334.0
St John's CofE Primary and Nursery School,/provider/21/101321,"Swan Lane, Whetstone, London, N20 0PL",Primary,Good,28 September 2022,101321.0
"St Andrew's CofE Voluntary Aided Primary School, Totteridge",/provider/21/101327,"The Green, Totteridge, London, N20 8NX",Primary,Good,11 May 2022,101327.0
St Joseph's Catholic Primary School,/provider/21/101337,"Watford Way, Hendon, London, NW4 4TY",Primary,Good,20 June 2022,101337.0
Blessed Dominic Catholic Primary School,/provider/21/101339,"Great Strand, London, NW9 5PE",Primary,Outstanding,10 July 2019,101339.0
St Paul's CofE Primary School NW7,/provider/21/101326,"The Ridgeway, Mill Hill, London, Middlesex, NW7 1QU",Primary,Good,30 January 2024,101326.0
All Saints' CofE Nursery and Primary School N20,/provider/21/101329,"116 Oakleigh Road North, Whetstone, London, N20 9EZ",Primary,Good,01 July 2024,101329.0
Etz Chaim Jewish Primary School,/provider/21/136938,"20 Daws Lane, London, NW7 4SL",Primary,Good,12 April 2024,136938.0
Sacred Heart Roman Catholic Primary School,/provider/21/101338,"2 Oakleigh Park South, Whetstone, London, N20 9JU",Primary,Good,24 July 2023,101338.0
St Aidan's Voluntary Controlled Primary School,/provider/21/102132,"Albany Road, Stroud Green, London, N4 4RR",Primary,Outstanding,09 December 2019,102132
St John Vianney RC Primary School,/provider/21/102152,"Stanley Road, Tottenham, London, N15 3HD",Primary,Outstanding,20 March 2024,102152
St Francis de Sales RC Infant School,/provider/21/102149,"Church Road, Tottenham, London, N17 8AZ",Primary,Good,05 July 2024,102149
St Francis de Sales RC Junior School,/provider/21/102143,"Church Road, Tottenham, London, N17 8AZ",Primary,Good,07 July 2021,102143
St Luke's Church of England School,/provider/21/136807,"12 Kidderpore Avenue, London, NW3 7SU",Primary,Good,27 April 2023,136807.0
"Holy Trinity CofE Primary School, NW3",/provider/21/100032,"Trinity Walk, Maresfield Gardens, London, NW3 5SQ",Primary,Good,25 October 2023,100032.0
St Michael at Bowes CofE Junior School,/provider/21/102026,"Tottenhall Road, London, N13 6JB",Primary,Good,26 September 2023,102026
Latymer All Saints CofE Primary School,/provider/21/102041,"41 Hydethorpe Avenue, Edmonton, London, N9 9RS",Primary,Good,28 February 2020,102041
St John and St James CofE Primary School,/provider/21/102032,"Grove Street, Edmonton, London, N18 2TL",Primary,Good,14 January 2022,102032
St Paul's and All Hallows CofE Junior School,/provider/21/139177,"Worcester Avenue, London, N17 0TU",Primary,Good,26 May 2023,139177
St Paul's CofE Primary School,/provider/21/102035,"Ringwood Way, Winchmore Hill, London, N21 2RA",Primary,Good,25 January 2024,102035
St Andrew's CofE Primary School,/provider/21/102029,"116 Churchbury Lane, Enfield, Middlesex, EN1 3UL",Primary,Good,27 March 2019,102029
St George's Catholic Primary School,/provider/21/102038,"Gordon Road, Enfield, EN2 0QA",Primary,Good,04 November 2019,102038
