record_date,link,record_details,publication_date,school_id
09 November 2004,https://files.ofsted.gov.uk/v1/file/1624149,Inspection,09 December 2004,10_SC042132
09 December 2003,https://files.ofsted.gov.uk/v1/file/1574637,Inspection,09 January 2004,10_SC042132
07 February 2023,https://files.ofsted.gov.uk/v1/file/50214845,Full inspection,27 April 2023,10_SC044128
05 October 2021,https://files.ofsted.gov.uk/v1/file/50172484,Full inspection,19 November 2021,10_SC044128
21 January 2020,https://files.ofsted.gov.uk/v1/file/50145450,Full inspection,12 February 2020,10_SC044128
29 January 2019,https://files.ofsted.gov.uk/v1/file/50059436,Full inspection,01 March 2019,10_SC044128
23 January 2018,https://files.ofsted.gov.uk/v1/file/2754515,Full inspection,15 February 2018,10_SC044128
29 November 2016,https://files.ofsted.gov.uk/v1/file/2638423,Full inspection,24 January 2017,10_SC044128
01 December 2015,https://files.ofsted.gov.uk/v1/file/2535275,Full inspection,12 January 2016,10_SC044128
10 February 2015,https://files.ofsted.gov.uk/v1/file/2489254,Full inspection,24 June 2015,10_SC044128
20 January 2014,https://files.ofsted.gov.uk/v1/file/2348917,Full inspection,20 March 2014,10_SC044128
20 February 2012,https://files.ofsted.gov.uk/v1/file/1942427,Full inspection,31 March 2012,10_SC044128
30 June 2010,https://files.ofsted.gov.uk/v1/file/1412995,Full inspection,03 August 2010,10_SC044128
16 June 2008,https://files.ofsted.gov.uk/v1/file/1208857,Full inspection,18 July 2008,10_SC044128
12 June 2007,https://files.ofsted.gov.uk/v1/file/1103389,Full inspection,30 July 2007,10_SC044128
09 January 2007,https://files.ofsted.gov.uk/v1/file/1664603,Inspection,09 February 2007,10_SC044128
10 January 2006,https://files.ofsted.gov.uk/v1/file/1601825,Inspection,10 February 2006,10_SC044128
10 January 2005,https://files.ofsted.gov.uk/v1/file/1642521,Inspection,10 February 2005,10_SC044128
12 January 2004,https://files.ofsted.gov.uk/v1/file/1578363,Inspection,12 February 2004,10_SC044128
25 January 2023,https://files.ofsted.gov.uk/v1/file/50213098,Full inspection,01 April 2023,1_SC006927
22 March 2022,https://files.ofsted.gov.uk/v1/file/50185325,Full inspection,08 June 2022,1_SC006927
22 March 2022,https://files.ofsted.gov.uk/v1/file/50185218,Education and boarding inspection summary,08 June 2022,1_SC006927
27 January 2012,https://files.ofsted.gov.uk/v1/file/1911253,Monitoring visit,23 February 2012,1_SC006927
01 November 2011,https://files.ofsted.gov.uk/v1/file/2790457,Monitoring inspection,30 November 2011,1_SC006927
01 November 2011,https://files.ofsted.gov.uk/v1/file/2790460,Standard inspection,23 November 2011,1_SC006927
25 May 2011,https://files.ofsted.gov.uk/v1/file/2789852,Standard inspection,14 July 2011,1_SC006927
14 November 2006,https://files.ofsted.gov.uk/v1/file/1589773,Inspection,14 December 2006,1_SC006927
04 March 2024,https://files.ofsted.gov.uk/v1/file/50246033,Full inspection,04 May 2024,1_SC017403
17 September 2019,https://files.ofsted.gov.uk/v1/file/50115408,Full inspection,10 October 2019,1_SC017403
10 October 2016,https://files.ofsted.gov.uk/v1/file/2614599,Full inspection,25 November 2016,1_SC017403
26 March 2014,https://files.ofsted.gov.uk/v1/file/2385153,Full inspection,26 May 2014,1_SC017403
11 March 2011,https://files.ofsted.gov.uk/v1/file/1537501,Full inspection,09 April 2011,1_SC017403
12 December 2006,https://files.ofsted.gov.uk/v1/file/1662355,Inspection,12 January 2007,1_SC017403
10 March 2005,https://files.ofsted.gov.uk/v1/file/1619729,Inspection,10 April 2005,1_SC017403
29 January 2024,https://files.ofsted.gov.uk/v1/file/50241975,Full inspection,16 March 2024,1_SC400622
22 March 2021,https://files.ofsted.gov.uk/v1/file/50162538,Monitoring visit,30 April 2021,1_SC400622
14 October 2019,https://files.ofsted.gov.uk/v1/file/50122669,Full inspection,06 November 2019,1_SC400622
02 April 2019,https://files.ofsted.gov.uk/v1/file/50084467,Monitoring visit,12 June 2019,1_SC400622
13 May 2019,https://files.ofsted.gov.uk/v1/file/50084542,Full inspection,12 June 2019,1_SC485109
04 October 2016,https://files.ofsted.gov.uk/v1/file/2602909,Full inspection,26 October 2016,1_SC485109
12 June 2024,https://files.ofsted.gov.uk/v1/file/50252331,School inspection: Outstanding,12 July 2024,21_100000
18 April 2013,https://files.ofsted.gov.uk/v1/file/2216543,Full inspection: Outstanding,13 May 2013,21_100000
26 September 2008,https://files.ofsted.gov.uk/v1/file/915805,Full inspection: Outstanding,06 November 2008,21_100000
21 September 2005,https://files.ofsted.gov.uk/v1/file/803693,Full inspection: Good,20 October 2005,21_100000
05 June 2000,https://files.ofsted.gov.uk/v1/file/759581,Full inspection,15 September 2000,21_100000
04 October 2022,https://files.ofsted.gov.uk/v1/file/50199371,School inspection: Good,18 November 2022,21_100008
30 January 2019,https://files.ofsted.gov.uk/v1/file/50059038,Short inspection,27 February 2019,21_100008
28 January 2015,https://files.ofsted.gov.uk/v1/file/2457093,Full inspection: Good,26 February 2015,21_100008
15 January 2013,https://files.ofsted.gov.uk/v1/file/2165223,Interim assessment,29 January 2013,21_100008
07 October 2009,https://files.ofsted.gov.uk/v1/file/945647,Full inspection: Good,29 October 2009,21_100008
25 June 2008,https://files.ofsted.gov.uk/v1/file/939039,Curriculum and development visit,31 July 2008,21_100008
28 June 2007,https://files.ofsted.gov.uk/v1/file/909117,Curriculum and development visit,31 August 2007,21_100008
09 January 2007,https://files.ofsted.gov.uk/v1/file/828203,Full inspection: Good,29 January 2007,21_100008
01 October 2001,https://files.ofsted.gov.uk/v1/file/768451,Full inspection,19 December 2001,21_100008
22 March 2022,https://files.ofsted.gov.uk/v1/file/50183915,School inspection,19 May 2022,21_100009
24 January 2017,https://files.ofsted.gov.uk/v1/file/2657603,Short inspection,06 March 2017,21_100009
10 July 2012,https://files.ofsted.gov.uk/v1/file/2071855,Full inspection: Good,10 September 2012,21_100009
07 January 2011,https://files.ofsted.gov.uk/v1/file/1561093,Interim assessment,09 May 2011,21_100009
21 January 2010,https://files.ofsted.gov.uk/v1/file/974819,Curriculum and development visit,22 February 2010,21_100009
31 October 2007,https://files.ofsted.gov.uk/v1/file/875319,Full inspection: Good,15 November 2007,21_100009
20 May 2002,https://files.ofsted.gov.uk/v1/file/779227,Full inspection,13 September 2002,21_100009
07 March 2023,https://files.ofsted.gov.uk/v1/file/50217969,School inspection: Good,24 May 2023,21_100010
22 November 2017,https://files.ofsted.gov.uk/v1/file/2744285,Short inspection,20 December 2017,21_100010
19 November 2013,https://files.ofsted.gov.uk/v1/file/2298785,Full inspection: Good,10 December 2013,21_100010
09 January 2012,https://files.ofsted.gov.uk/v1/file/1927759,Interim assessment,20 March 2012,21_100010
18 November 2008,https://files.ofsted.gov.uk/v1/file/875323,Full inspection: Good,09 December 2008,21_100010
10 January 2005,https://files.ofsted.gov.uk/v1/file/797173,Full inspection,18 March 2005,21_100010
19 September 2023,https://files.ofsted.gov.uk/v1/file/50232407,School inspection,09 November 2023,21_100011
19 April 2018,https://files.ofsted.gov.uk/v1/file/2773377,Short inspection,15 May 2018,21_100011
05 June 2014,https://files.ofsted.gov.uk/v1/file/2398534,Full inspection: Good,25 June 2014,21_100011
09 January 2012,https://files.ofsted.gov.uk/v1/file/1927763,Interim assessment,20 March 2012,21_100011
17 June 2009,https://files.ofsted.gov.uk/v1/file/915813,Full inspection: Good,09 July 2009,21_100011
10 July 2006,https://files.ofsted.gov.uk/v1/file/803701,Full inspection: Satisfactory,13 September 2006,21_100011
29 November 1999,https://files.ofsted.gov.uk/v1/file/762157,Full inspection,12 May 2000,21_100011
14 June 2023,https://files.ofsted.gov.uk/v1/file/50225057,School inspection: Outstanding,01 August 2023,21_100013
21 October 2020,https://files.ofsted.gov.uk/v1/file/50157312,Monitoring visit,02 December 2020,21_100013
05 June 2018,https://files.ofsted.gov.uk/v1/file/2782649,Short inspection,29 June 2018,21_100013
23 January 2014,https://files.ofsted.gov.uk/v1/file/2332517,Full inspection: Good,27 February 2014,21_100013
21 June 2012,https://files.ofsted.gov.uk/v1/file/2031899,Full inspection: Good,13 July 2012,21_100013
23 November 2011,https://files.ofsted.gov.uk/v1/file/1871717,Curriculum and development visit,15 December 2011,21_100013
13 October 2008,https://files.ofsted.gov.uk/v1/file/875327,Full inspection: Outstanding,06 November 2008,21_100013
16 May 2005,https://files.ofsted.gov.uk/v1/file/802809,Full inspection,22 July 2005,21_100013
05 October 2022,https://files.ofsted.gov.uk/v1/file/50200008,School inspection,24 November 2022,21_100014
25 January 2017,https://files.ofsted.gov.uk/v1/file/2662273,Short inspection,15 March 2017,21_100014
02 February 2012,https://files.ofsted.gov.uk/v1/file/1913761,Full inspection: Good,27 February 2012,21_100014
30 June 2010,https://files.ofsted.gov.uk/v1/file/975605,Interim assessment,22 July 2010,21_100014
02 February 2009,https://files.ofsted.gov.uk/v1/file/943625,Curriculum and development visit,22 April 2009,21_100014
29 January 2007,https://files.ofsted.gov.uk/v1/file/828211,Full inspection: Good,14 February 2007,21_100014
19 November 2001,https://files.ofsted.gov.uk/v1/file/769433,Full inspection,27 February 2002,21_100014
27 February 2019,https://files.ofsted.gov.uk/v1/file/50065998,Full inspection: Good,27 March 2019,21_100015
14 May 2014,https://files.ofsted.gov.uk/v1/file/2393225,Full inspection: Good,11 June 2014,21_100015
09 January 2012,https://files.ofsted.gov.uk/v1/file/1927767,Interim assessment,20 March 2012,21_100015
06 July 2009,https://files.ofsted.gov.uk/v1/file/915817,Full inspection: Good,03 September 2009,21_100015
20 June 2006,https://files.ofsted.gov.uk/v1/file/803705,Full inspection: Good,11 July 2006,21_100015
20 March 2000,https://files.ofsted.gov.uk/v1/file/763561,Full inspection,22 June 2000,21_100015
01 May 2024,https://files.ofsted.gov.uk/v1/file/50249425,School inspection: Good,13 June 2024,21_100018
31 October 2018,https://files.ofsted.gov.uk/v1/file/50039612,Short inspection,21 November 2018,21_100018
08 July 2014,https://files.ofsted.gov.uk/v1/file/2415963,Full inspection: Good,04 September 2014,21_100018
02 May 2013,https://files.ofsted.gov.uk/v1/file/2223537,Full inspection: Requires Improvement,03 June 2013,21_100018
29 June 2010,https://files.ofsted.gov.uk/v1/file/979739,Full inspection: Good,21 July 2010,21_100018
30 September 2008,https://files.ofsted.gov.uk/v1/file/941727,Curriculum and development visit,27 March 2009,21_100018
22 November 2006,https://files.ofsted.gov.uk/v1/file/857167,Full inspection: Good,11 December 2006,21_100018
13 October 2005,https://files.ofsted.gov.uk/v1/file/803709,Full inspection: Inadequate,02 February 2006,21_100018
18 October 1999,https://files.ofsted.gov.uk/v1/file/759583,Full inspection,12 May 2000,21_100018
28 June 2023,https://files.ofsted.gov.uk/v1/file/50229202,School inspection: Good,26 September 2023,21_100019
12 December 2017,https://files.ofsted.gov.uk/v1/file/2748085,Short inspection,12 January 2018,21_100019
20 September 2012,https://files.ofsted.gov.uk/v1/file/2075331,Full inspection: Good,12 October 2012,21_100019
07 January 2011,https://files.ofsted.gov.uk/v1/file/1559737,Interim assessment,09 May 2011,21_100019
21 November 2007,https://files.ofsted.gov.uk/v1/file/875331,Full inspection: Good,10 December 2007,21_100019
19 January 2004,https://files.ofsted.gov.uk/v1/file/796199,Full inspection,23 March 2004,21_100019
13 December 2023,https://files.ofsted.gov.uk/v1/file/50239100,School inspection: Good,05 February 2024,21_100020
04 June 2009,https://files.ofsted.gov.uk/v1/file/915821,Full inspection: Outstanding,24 June 2009,21_100020
16 May 2006,https://files.ofsted.gov.uk/v1/file/803713,Full inspection: Satisfactory,31 May 2006,21_100020
20 September 1999,https://files.ofsted.gov.uk/v1/file/762939,Full inspection,12 May 2000,21_100020
07 February 2024,https://files.ofsted.gov.uk/v1/file/50242123,School inspection: Outstanding,19 March 2024,21_100021
24 January 2017,https://files.ofsted.gov.uk/v1/file/2654549,Short inspection,28 February 2017,21_100021
06 March 2013,https://files.ofsted.gov.uk/v1/file/2199377,Full inspection: Good,27 March 2013,21_100021
14 June 2012,https://files.ofsted.gov.uk/v1/file/2025827,Curriculum and development visit,03 July 2012,21_100021
13 July 2011,https://files.ofsted.gov.uk/v1/file/1979409,Full inspection: Satisfactory,08 September 2011,21_100021
30 June 2010,https://files.ofsted.gov.uk/v1/file/972391,Monitoring visit,14 July 2010,21_100021
03 July 2008,https://files.ofsted.gov.uk/v1/file/875335,Full inspection: Satisfactory,22 July 2008,21_100021
08 December 2003,https://files.ofsted.gov.uk/v1/file/791201,Full inspection,20 May 2004,21_100021
16 October 2019,https://files.ofsted.gov.uk/v1/file/50128214,Full inspection: Outstanding,26 November 2019,21_100022
08 November 2010,https://files.ofsted.gov.uk/v1/file/1442951,Curriculum and development visit,28 January 2011,21_100022
05 December 2008,https://files.ofsted.gov.uk/v1/file/915825,Full inspection: Outstanding,08 January 2009,21_100022
20 November 2007,https://files.ofsted.gov.uk/v1/file/912945,Curriculum and development visit,18 March 2008,21_100022
11 October 2005,https://files.ofsted.gov.uk/v1/file/803717,Full inspection: Good,12 January 2006,21_100022
14 February 2000,https://files.ofsted.gov.uk/v1/file/773221,Full inspection,26 May 2000,21_100022
18 September 2018,https://files.ofsted.gov.uk/v1/file/50032163,Full inspection: Outstanding,12 October 2018,21_100023
30 March 2009,https://files.ofsted.gov.uk/v1/file/915829,Full inspection: Outstanding,27 April 2009,21_100023
12 December 2005,https://files.ofsted.gov.uk/v1/file/803721,Full inspection: Outstanding,31 January 2006,21_100023
27 June 2000,https://files.ofsted.gov.uk/v1/file/765099,Full inspection,26 September 2000,21_100023
19 October 2021,https://files.ofsted.gov.uk/v1/file/50172884,School inspection,26 November 2021,21_100025
27 January 2016,https://files.ofsted.gov.uk/v1/file/2544567,Full inspection: Outstanding,23 February 2016,21_100025
28 March 2014,https://files.ofsted.gov.uk/v1/file/2373413,Interim assessment,06 May 2014,21_100025
25 June 2013,https://files.ofsted.gov.uk/v1/file/2246253,Curriculum and development visit,18 July 2013,21_100025
15 June 2011,https://files.ofsted.gov.uk/v1/file/1976149,Full inspection: Good,07 July 2011,21_100025
14 July 2008,https://files.ofsted.gov.uk/v1/file/875343,Full inspection: Good,08 September 2008,21_100025
20 November 2006,https://files.ofsted.gov.uk/v1/file/861619,Curriculum and development visit,01 June 2007,21_100025
10 January 2005,https://files.ofsted.gov.uk/v1/file/797899,Full inspection,22 April 2005,21_100025
17 April 2024,https://files.ofsted.gov.uk/v1/file/50247439,School inspection,17 May 2024,21_100026
04 December 2018,https://files.ofsted.gov.uk/v1/file/50046601,Short inspection,27 December 2018,21_100026
18 November 2014,https://files.ofsted.gov.uk/v1/file/2439994,Full inspection: Good,12 December 2014,21_100026
15 January 2013,https://files.ofsted.gov.uk/v1/file/2165231,Interim assessment,29 January 2013,21_100026
10 December 2009,https://files.ofsted.gov.uk/v1/file/945655,Full inspection: Good,12 January 2010,21_100026
02 July 2007,https://files.ofsted.gov.uk/v1/file/828215,Full inspection: Good,18 July 2007,21_100026
10 June 2002,https://files.ofsted.gov.uk/v1/file/779771,Full inspection,13 September 2002,21_100026
13 September 2023,https://files.ofsted.gov.uk/v1/file/50230601,School inspection: Outstanding,13 October 2023,21_100027
18 October 2011,https://files.ofsted.gov.uk/v1/file/1983643,Full inspection: Outstanding,09 November 2011,21_100027
30 June 2010,https://files.ofsted.gov.uk/v1/file/975607,Interim assessment,22 July 2010,21_100027
30 September 2008,https://files.ofsted.gov.uk/v1/file/941729,Curriculum and development visit,27 March 2009,21_100027
08 March 2007,https://files.ofsted.gov.uk/v1/file/828219,Full inspection: Good,27 March 2007,21_100027
28 October 2002,https://files.ofsted.gov.uk/v1/file/780881,Full inspection,06 February 2003,21_100027
01 November 2023,https://files.ofsted.gov.uk/v1/file/50234902,School inspection: Outstanding,07 December 2023,21_100028
30 April 2009,https://files.ofsted.gov.uk/v1/file/915833,Full inspection: Outstanding,21 May 2009,21_100028
27 April 2006,https://files.ofsted.gov.uk/v1/file/803725,Full inspection: Outstanding,17 May 2006,21_100028
10 January 2000,https://files.ofsted.gov.uk/v1/file/771181,Full inspection,12 May 2000,21_100028
24 March 2022,https://files.ofsted.gov.uk/v1/file/50184362,School inspection,24 May 2022,21_100029
24 November 2020,https://files.ofsted.gov.uk/v1/file/50158343,Monitoring visit,16 December 2020,21_100029
24 January 2017,https://files.ofsted.gov.uk/v1/file/2654585,Short inspection,28 February 2017,21_100029
27 June 2013,https://files.ofsted.gov.uk/v1/file/2247893,Curriculum and development visit,23 July 2013,21_100029
19 January 2012,https://files.ofsted.gov.uk/v1/file/1899169,Full inspection: Good,09 February 2012,21_100029
19 May 2009,https://files.ofsted.gov.uk/v1/file/915837,Full inspection: Good,12 June 2009,21_100029
06 July 2006,https://files.ofsted.gov.uk/v1/file/803729,Full inspection: Good,13 September 2006,21_100029
19 September 2000,https://files.ofsted.gov.uk/v1/file/776585,Full inspection,28 July 2006,21_100029
15 January 2019,https://files.ofsted.gov.uk/v1/file/50055545,Full inspection: Good,12 February 2019,21_100030
30 June 2010,https://files.ofsted.gov.uk/v1/file/975609,Interim assessment,22 July 2010,21_100030
14 June 2007,https://files.ofsted.gov.uk/v1/file/828223,Full inspection: Outstanding,02 July 2007,21_100030
11 November 2002,https://files.ofsted.gov.uk/v1/file/780883,Full inspection,14 February 2003,21_100030
07 June 2023,https://files.ofsted.gov.uk/v1/file/50223730,School inspection: Good,19 July 2023,21_100031
18 June 2019,https://files.ofsted.gov.uk/v1/file/50095863,Short inspection,25 July 2019,21_100031
08 December 2015,https://files.ofsted.gov.uk/v1/file/2537001,Short inspection,22 January 2016,21_100031
18 June 2012,https://files.ofsted.gov.uk/v1/file/2029151,Full inspection: Good,10 July 2012,21_100031
22 September 2008,https://files.ofsted.gov.uk/v1/file/875347,Full inspection: Good,13 October 2008,21_100031
01 March 2004,https://files.ofsted.gov.uk/v1/file/796423,Full inspection,06 May 2004,21_100031
13 September 2023,https://files.ofsted.gov.uk/v1/file/50231348,School inspection,25 October 2023,21_100032
20 March 2018,https://files.ofsted.gov.uk/v1/file/2769117,Short inspection,23 April 2018,21_100032
21 November 2013,https://files.ofsted.gov.uk/v1/file/2300925,Full inspection: Good,13 December 2013,21_100032
09 January 2012,https://files.ofsted.gov.uk/v1/file/1927771,Interim assessment,20 March 2012,21_100032
18 September 2008,https://files.ofsted.gov.uk/v1/file/875351,Full inspection: Good,09 October 2008,21_100032
01 December 2003,https://files.ofsted.gov.uk/v1/file/794595,Full inspection,20 May 2004,21_100032
05 October 2021,https://files.ofsted.gov.uk/v1/file/50172980,School inspection: Good,29 November 2021,21_100033
30 June 2010,https://files.ofsted.gov.uk/v1/file/975611,Interim assessment,22 July 2010,21_100033
14 March 2007,https://files.ofsted.gov.uk/v1/file/828227,Full inspection: Outstanding,29 March 2007,21_100033
15 October 2001,https://files.ofsted.gov.uk/v1/file/769183,Full inspection,09 January 2002,21_100033
05 December 2017,https://files.ofsted.gov.uk/v1/file/2748491,Full inspection: Outstanding,16 January 2018,21_100034
05 June 2013,https://files.ofsted.gov.uk/v1/file/2235469,Full inspection: Good,27 June 2013,21_100034
26 January 2010,https://files.ofsted.gov.uk/v1/file/945659,Full inspection: Outstanding,24 February 2010,21_100034
13 February 2007,https://files.ofsted.gov.uk/v1/file/828231,Full inspection: Outstanding,08 March 2007,21_100034
25 June 2002,https://files.ofsted.gov.uk/v1/file/773289,Full inspection,26 September 2002,21_100034
28 September 2022,https://files.ofsted.gov.uk/v1/file/50199118,School inspection,16 November 2022,21_100035
29 September 2020,https://files.ofsted.gov.uk/v1/file/50156392,Monitoring visit,20 November 2020,21_100035
07 February 2017,https://files.ofsted.gov.uk/v1/file/2667961,Short inspection,27 March 2017,21_100035
14 May 2012,https://files.ofsted.gov.uk/v1/file/2015485,Full inspection: Good,12 June 2012,21_100035
07 January 2011,https://files.ofsted.gov.uk/v1/file/1560493,Interim assessment,09 May 2011,21_100035
07 May 2008,https://files.ofsted.gov.uk/v1/file/875355,Full inspection: Outstanding,03 June 2008,21_100035
06 October 2003,https://files.ofsted.gov.uk/v1/file/791269,Full inspection,20 May 2004,21_100035
02 April 2019,https://files.ofsted.gov.uk/v1/file/50077559,Full inspection: Good,13 May 2019,21_100036
09 January 2014,https://files.ofsted.gov.uk/v1/file/2326303,Full inspection: Outstanding,13 February 2014,21_100036
09 January 2012,https://files.ofsted.gov.uk/v1/file/1927775,Interim assessment,20 March 2012,21_100036
14 January 2009,https://files.ofsted.gov.uk/v1/file/915841,Full inspection: Good,04 February 2009,21_100036
29 June 2006,https://files.ofsted.gov.uk/v1/file/803733,Full inspection: Satisfactory,18 July 2006,21_100036
11 October 1999,https://files.ofsted.gov.uk/v1/file/759585,Full inspection,12 May 2000,21_100036
18 June 2024,https://files.ofsted.gov.uk/v1/file/50252596,School inspection: Outstanding,16 July 2024,21_100040
14 November 2013,https://files.ofsted.gov.uk/v1/file/2296069,Full inspection: Outstanding,04 December 2013,21_100040
09 January 2012,https://files.ofsted.gov.uk/v1/file/1927779,Interim assessment,20 March 2012,21_100040
19 November 2008,https://files.ofsted.gov.uk/v1/file/875363,Full inspection: Good,10 December 2008,21_100040
26 April 2004,https://files.ofsted.gov.uk/v1/file/791783,Full inspection,01 July 2004,21_100040
21 February 2024,https://files.ofsted.gov.uk/v1/file/50242163,School inspection,19 March 2024,21_100041
10 October 2018,https://files.ofsted.gov.uk/v1/file/50036699,Full inspection: Good,06 November 2018,21_100041
26 February 2014,https://files.ofsted.gov.uk/v1/file/2347553,Full inspection: Outstanding,18 March 2014,21_100041
09 January 2012,https://files.ofsted.gov.uk/v1/file/1927783,Interim assessment,20 March 2012,21_100041
21 January 2009,https://files.ofsted.gov.uk/v1/file/915845,Full inspection: Good,12 February 2009,21_100041
19 June 2006,https://files.ofsted.gov.uk/v1/file/803737,Full inspection: Satisfactory,06 July 2006,21_100041
08 May 2000,https://files.ofsted.gov.uk/v1/file/762299,Full inspection,15 September 2000,21_100041
11 July 2023,https://files.ofsted.gov.uk/v1/file/50230073,School inspection: Outstanding,06 October 2023,21_100042
28 November 2017,https://files.ofsted.gov.uk/v1/file/2744369,Short inspection,20 December 2017,21_100042
05 November 2014,https://files.ofsted.gov.uk/v1/file/2439486,Full inspection: Good,11 December 2014,21_100042
05 May 2011,https://files.ofsted.gov.uk/v1/file/1971713,Full inspection: Good,20 May 2011,21_100042
13 November 2007,https://files.ofsted.gov.uk/v1/file/875367,Full inspection: Satisfactory,04 December 2007,21_100042
22 April 2002,https://files.ofsted.gov.uk/v1/file/771917,Full inspection,13 September 2002,21_100042
27 March 2019,https://files.ofsted.gov.uk/v1/file/50076096,Full inspection: Good,09 May 2019,21_100043
16 November 2011,https://files.ofsted.gov.uk/v1/file/1958617,Full inspection: Outstanding,08 December 2011,21_100043
30 June 2010,https://files.ofsted.gov.uk/v1/file/975613,Interim assessment,22 July 2010,21_100043
18 June 2007,https://files.ofsted.gov.uk/v1/file/828243,Full inspection: Good,06 July 2007,21_100043
03 March 2005,https://files.ofsted.gov.uk/v1/file/802773,Inspection,15 December 2005,21_100043
19 November 2019,https://files.ofsted.gov.uk/v1/file/50135172,School inspection,18 December 2019,21_100045
03 March 2016,https://files.ofsted.gov.uk/v1/file/2560681,Short inspection,18 April 2016,21_100045
28 March 2014,https://files.ofsted.gov.uk/v1/file/2373409,Interim assessment,06 May 2014,21_100045
17 May 2011,https://files.ofsted.gov.uk/v1/file/1972981,Full inspection: Good,13 June 2011,21_100045
04 February 2008,https://files.ofsted.gov.uk/v1/file/875371,Full inspection: Good,29 February 2008,21_100045
16 June 2003,https://files.ofsted.gov.uk/v1/file/780885,Full inspection,17 September 2003,21_100045
02 November 2021,https://files.ofsted.gov.uk/v1/file/50174059,School inspection,14 December 2021,21_100046
04 October 2016,https://files.ofsted.gov.uk/v1/file/2605837,Short inspection,07 November 2016,21_100046
19 January 2016,https://files.ofsted.gov.uk/v1/file/2592010,Monitoring visit,11 February 2016,21_100046
01 December 2011,https://files.ofsted.gov.uk/v1/file/1988207,Full inspection: Good,06 January 2012,21_100046
